date,size,
2011/1/10 11:47:49,0,
2011/1/10 11:48:19,0,
2011/1/10 11:48:49,0,
2011/1/10 11:49:19,0,
2011/1/10 11:49:49,0.004586794,
2011/1/10 11:50:19,0.009173624,
2011/1/10 11:50:49,0.013760333,
2011/1/10 11:51:19,0.018347017,
2011/1/10 11:51:49,0.022933732,
2011/1/10 11:52:19,0.027520404,
2011/1/10 11:52:49,0.032107092,
2011/1/10 11:53:19,0.036693833,
2011/1/10 11:53:49,0.041280562,
2011/1/10 11:54:19,0.045867306,
2011/1/10 11:54:49,0.050454447,
2011/1/10 11:55:19,0.055041909,
2011/1/10 11:55:49,0.059628939,
2011/1/10 11:56:19,0.064215583,
2011/1/10 11:56:49,0.068802248,
2011/1/10 11:57:19,0.073388733,
2011/1/10 11:57:49,0.077975378,
2011/1/10 11:58:19,0.082562031,
2011/1/10 11:58:49,0.087149037,
2011/1/10 11:59:19,0.09173531,
2011/1/10 11:59:49,0.096321939,
2011/1/10 12:00:19,0.100908566,
2011/1/10 12:00:49,0.105495181,
2011/1/10 12:01:19,0.11008179,
2011/1/10 12:01:50,0.114668426,
2011/1/10 12:02:20,0.119255144,
2011/1/10 12:02:50,0.123841743,
2011/1/10 12:03:20,0.12842839,
2011/1/10 12:03:50,0.133015021,
2011/1/10 12:04:20,0.13760161,
2011/1/10 12:04:50,0.142188308,
2011/1/10 12:05:20,0.146774956,
2011/1/10 12:05:50,0.151361626,
2011/1/10 12:06:20,0.155948331,
2011/1/10 12:06:50,0.160534972,
2011/1/10 12:07:20,0.165121739,
2011/1/10 12:07:50,0.169708407,
2011/1/10 12:08:20,0.174295124,
2011/1/10 12:08:50,0.178881807,
2011/1/10 12:09:20,0.183468513,
2011/1/10 12:09:50,0.188055165,
2011/1/10 12:10:20,0.192641804,
2011/1/10 12:10:50,0.197228882,
2011/1/10 12:11:20,0.201815124,
2011/1/10 12:11:50,0.206401764,
2011/1/10 12:12:20,0.21098845,
2011/1/10 12:12:50,0.215575147,
2011/1/10 12:13:20,0.220161829,
2011/1/10 12:13:50,0.224748502,
2011/1/10 12:14:20,0.22933518,
2011/1/10 12:14:50,0.233921935,
2011/1/10 12:15:20,0.23850846,
2011/1/10 12:15:50,0.243095013,
2011/1/10 12:16:20,0.247681551,
2011/1/10 12:16:50,0.252268201,
2011/1/10 12:17:20,0.256854802,
2011/1/10 12:17:50,0.261441397,
2011/1/10 12:18:20,0.266027922,
2011/1/10 12:18:50,0.270614492,
2011/1/10 12:19:20,0.275201113,
